Kapampangan,English
"disgustado, mesumami",disgusted
kasebian,adaga
credo,credo
"decidido, sabik",raring
nabengi,last night
niknik,mosquito larvae
anga keng,until
quimut,motion
"turumpo, trompo",top
putputan,uproot
pitaklan,asshole
abayan,keep company
samasnan,settle
riport,report
makalunus,pathetic
ikatas (increase degree),raise
why are you home early?,why are you home early?
ilera,column
pamaglaram,perjury
pusa lampung,wildcat
gisantis,green peas
teklada,piano key
mamarala,send
alimasag,blue crab
"isunu, panyunu, pagsisti, pituya-tuya",mock
utal,stutterer
patu,hit by a car
kanto,refrain
"kaguili, guilian",slice
kulyat,tree
paburan,laugh
makasara,shut
coronel,colonel
karelang,their
alang kapupusan,infinite
karakal,karakal
hello,hello
kalinisan,cleanliness
tandus,spear
manasisti (give accompaniment),accompany
kapara,fellow
pamikamaganak,consanguinity
dramaturgo,playwright
labanan,battle
paku,nail
tropa,troop
selfish,selfish
hunio,june
sosyedad,society
malamarine,shy
aliwa,another
mitakid,stub
patawad,forgiveness
dadara,threshing rice
dungan,waterfront
"pikompara, piparewan",compare
andiyang makananu meng baligtaran ing yatu makanta pa rin?? ekuna aytindiyan pasensya na kayu ne?,
amerikana,suit
datukanan,"bag, bottle, container or bag"
kalembang,"ringing, tolling of bells"
galungung,freeze
nasapapay,
salamin,mirror
puera pa,besides
"miakma-akma, mitugma-tugma",harmonious
api,lime
bulutung,smallpox
patutu,testimony
serioso,earnest
"potang, keng, ustung",when
kabayaran,cost
paras,spicy hot
"matunud, patunuran",tame
coronel,colonel
wali,youngest sibling
"esperansa, pagasa, magnasa",hope
payasu,jester
palista,register
manewan,steer
egg,egg
mumuna,front
channel,channel
pilegis,pleat
magalo,active
masipag,active
mamukipak,dirty
bastag,let loose
transporma,transform
sagmitan,seize
tandusan,spear
matuang tipan,old testament
tabakan,hack
kapaliyan,summer
tikal,fatigue
planu,plan
puke,vagina
canan,meal
masarap,delicious
kutseru,carriage driver
tete,bridge
"parmacia, botika",pharmacy
palmuran,humiliate
"mismu, ka mismu, mu mismu",yourself
dok,"bad, evil, substitute for dewakan"
anino,shadow
sugal,gamble
"basibasan, barongan, basibas, baronga",cast
"bobo, makmak",moron
teterak,masanting
panara,a meat patty
pulkirya,slobbish
bandi,darling
gumunam,meditate
kaluguran,buddy
matiab,capsize
madre,nun
siping bale,neighbor
preso,convict
buysitan,tease
arnis,filipino sword fighting martial art
bisa cang karat?,do you want sex?
duru,dowry
flcvhq,strike
"trisyunan, pagtraidulan",doublecross
atdu,gallbladder
dungis,"blemish, dirt, dishonor, stain"
apaly,bittermelon
yugse,dump
panibatan,source
mabsi,full
magmana,inherit
kamias,a kind of vegetable
manika,puppet
sumangid,other side
"matirial, gawa",material
papelis,documents
bangkasu,a kind of basket
agap,initiative
lets go,lets have dinner tonight
makauna,preceding
purgatoryu,purgatory
palakul,ax
kusineru,cook
oreni,oreni pu reng mangalagung csr keng pangilatis ku. siguro naman sumang ayon ko pu ne at pwede kayu namang kilatis siempre.. kanay
tabla,tie
managpi,spotted
karwai,carriage
kalidad (excellence),quality
dusug,move
tugtugan,to water
estatua,statue
antimanu,"immediately, right away"
albe,watch
kamaganak,relative
tabla,tie
"ibalik, subli",return
"ninu, kaninu, kenu",whom
karat,sex
"talalingap, talasaup",attendant
ubud,palm tree heart
usa,deer
sabyan,tell
matilus,pointed
atap,shingle
masahe,massage
makapagmulala,amazing
nasi,rice
"malumeme, makupad, magurung",slow
aniapin,so
mabuluk,fetid
kadaldal,chatty
tabrete,chair
karnabal,fair
gracia,blessing
kararagli,suddenly
pangimut,"action, activity"
bisa,desire
magsaya,enjoy
aliwang labuad,foreign
kikwan,miscarriage
"kabud, dili",solely
misalbag,"explode, scatter"
mayap a abak,
mayaspak,split
pasado,passed
"lumapad, lumualas",expand
kamalan,overcharge
