barandillas,guardrail,
barandillas,baluster,
baria,coin,
barikulkul,Where you go,
"barilis, dram",barrel,
barkillo,waffle,
barkun,porch,
barongga,throw,
"basibasan, barongan, basibas, baronga",cast,
bast,bust,
bastag,let loose,
basultu,kapampangan folk dance,
batal,neck,
batala,omen bird,
batcha,large basin,
batiawan,"see, watchtower",
batingting,bell,
batio,watch over,
batuytuy,bird,
batwin,star,
"bawasan, bawasnan, bosnan, kulangnan",lessen,
bayat,weight,
"bayu, kababaiwan",new,
bayuk,sag,
bayutuk,bend something down,
belwan,knowledge,
benepicio,advantage,
bengador,avenger,
bengatibo,vindictive,
bengatibo,vengeful,
bengatibo,bengati,
benusan,furrows in rice paddies,
beranda,balcony,
beranda,veranda,
berdigonis,pellet,
beria,sweetheart,
bersikulo,verse,
beterinario,veterinarian,
betute,stuffed frog,
beutaiful,beutaiful,
biabas,guava,
biahe,trip,
biasa,genius,
biasa,"clever, skillful",
bibinka,cake,
bichu-bichu,donut,
bie,give,
bie,"give, life",
bie,pahingi,
bigak,farrow,
bingo,crack or chip in a blade,
biniagan,baptize,
bioleta,violet,
biria,wax,
birya,amber-like substance used for patching,
bisinkleta,bicycle,
"bista, byu",view,
bitas,torn,
bitaul,howling of a dog or wolf,
"bitin, bikti","hang, python",
bitis,leg,
bitse,winnower,
biye,"give, life",
biyuk,scar,
biyung,roaring sound,
blanko,blank,
bokaypatu,pincers,
bokyu,stupid,
"bomba, bomban, momba",pump,
boxingero,boxer,
brip,brief,
buat,carry on the back,
bublag,brobtigas,
bugatchan,huge belly (not pregnant),
bugnus,"expend, to let out",
buisan,lease,
bukatut,a kind of fish trap,
bukilia,mouthpiece,
"buklo, muklo, tumumbo",bulge,
bukungtari,knuckles,
bukut,"bent over, crooked",
bulalag,reveal,
bulangisngis,a kind of bat,
bularit,a kind of cockfighting game,
bulaun,molave tree,
bulawe,hawk,
bulikat,cramp,
bulus,pitcher,
bulus,"to set free, or to release",
bulus,"diarrhea, flood, pour",
bulus-bulus,stray,
bulyo,yell,
bulyus,masturbate,
bungil,a catfight,
buntuk,head,
burarul,kite,
busni,open,
butaki,house lizard,
butaki,lizard,
butikas,calf muscle,
butit,calf,
butu/buto,dick / dick,
butul,"bone, seed",
butulan,a kind of banana that has seeds,
buyagyag,flabby,
"buysit, sisti, biruan, buysitan, mamuysit, magsisti",joke,
buysitan,tease,
bvrsad,cover,
bwak,hair,
byai,"journey, trip",
byakus,a type of fishing net,
camello,camel,
canglap,danger,
capeteria,cafeteria,
"carera (professional -of dogs, horses, cars, etc.)",race,
catalago,catalog,
cebano,violin,
centimetro,centimeter,
cerbesa,beer,
chichirya,junk food,
cigarillo,cigarette,
cirkero,acrobat,
cirku,circus,
cirkulo,circle,
ciudad,city,
"clerk, eskribiente",clerk,
colehiala,collegian,
complikacion,complication,
condicion,condition,
conferencia,conference,
contrabando,contraband,
contratista,contractor,
convincen,convince,
curiro,romance,
daba,a large wide-mouth earthen jar,
dadabulbul,gushing out,
dadanup,starving,
"dagdagan, miragdag, dakal",increase,
dagis,rat,
dagis-dagisan,lump in flesh caused by a sharp blow,
daguis,rat,
